asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-MSE-N/A-018,MOUSE (ACER),MOUSE (ACER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MSE-N/A-019,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 1,5,,
IL-MSE-N/A-020,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 1,5,,
IL-MSE-N/A-021,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 1,5,,
IL-MSE-N/A-022,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 2,5,,
IL-MSE-N/A-023,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 2,5,,
IL-MSE-N/A-024,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 2,5,,
IL-MSE-N/A-025,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 3,5,,
IL-MSE-N/A-026,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 3,5,,
IL-MSE-N/A-027,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 3,5,,
IL-MSE-N/A-028,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 4,5,,
IL-MSE-N/A-029,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 4,5,,
IL-MSE-N/A-030,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 4,5,,
IL-MSE-N/A-031,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 5,5,,
IL-MSE-N/A-032,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 5,5,,
IL-MSE-N/A-033,MOUSE (ACER),MOUSE (ACER),Assigned,BRIDGE 5,5,,
IL-MSE-N/A-034,MOUSE (ACER),MOUSE (ACER),Assigned,FMB,5,,
IL-MSE-N/A-035,MOUSE (ACER),MOUSE (ACER),Assigned,FMB,5,,
IL-MSE-N/A-036,MOUSE (ACER),MOUSE (ACER),Assigned,FMB,5,,
IL-MSE-N/A-037,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,FMB,5,,
IL-MSE-N/A-038,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,FMB,5,,
IL-MSE-N/A-039,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,FMB,5,,
IL-MSE-N/A-040,MOUSE (PROMARE),MOUSE (PROMARE),Assigned,TRAINING,5,,
IL-MSE-N/A-041,MOUSE (MOTOSPEED),MOUSE (MOTOSPEED),Assigned,TRAINING,5,,
IL-MSE-N/A-042,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 101,5,,
IL-MSE-N/A-043,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 102,5,,
